iter	Passed	Remaining
626	8242	4903
627	8257	4891
628	8270	4878
629	8283	4865
630	8297	4852
631	8310	4839
632	8323	4826
633	8337	4813
634	8350	4799
635	8363	4786
636	8375	4772
637	8389	4759
638	8402	4746
639	8416	4734
640	8428	4720
641	8441	4706
642	8453	4693
643	8467	4680
644	8481	4668
645	8495	4655
646	8508	4642
647	8520	4628
648	8533	4615
649	8547	4602
650	8559	4588
651	8573	4575
652	8586	4562
653	8601	4550
654	8615	4537
655	8628	4524
656	8642	4512
657	8656	4499
658	8668	4485
659	8682	4472
660	8695	4459
661	8710	4447
662	8724	4434
663	8739	4422
664	8751	4408
665	8765	4395
666	8779	4383
667	8793	4370
668	8807	4357
669	8821	4345
670	8836	4332
671	8851	4320
672	8864	4307
673	8877	4294
674	8890	4280
675	8904	4267
676	8917	4254
677	8932	4242
678	8946	4229
679	8960	4216
680	8973	4203
681	8987	4190
682	9013	4183
683	9026	4170
684	9040	4157
685	9053	4144
686	9066	4130
687	9080	4117
688	9094	4105
689	9108	4092
690	9123	4079
691	9136	4066
692	9150	4053
693	9164	4040
694	9177	4027
695	9191	4014
696	9206	4002
697	9220	3989
698	9233	3976
699	9246	3962
700	9260	3949
701	9273	3936
702	9288	3924
703	9301	3910
704	9314	3897
705	9328	3884
706	9341	3871
707	9354	3858
708	9368	3845
709	9382	3832
710	9394	3818
711	9408	3805
712	9419	3791
713	9432	3778
714	9448	3766
715	9462	3753
716	9473	3739
717	9487	3726
718	9501	3713
719	9513	3699
720	9528	3687
721	9543	3674
722	9558	3661
723	9572	3649
724	9585	3635
725	9601	3623
726	9615	3610
727	9629	3597
728	9644	3585
729	9656	3571
730	9669	3558
731	9683	3545
732	9697	3532
733	9711	3519
734	9725	3506
735	9738	3493
736	9752	3480
737	9765	3466
738	9779	3453
739	9793	3441
740	9807	3427
741	9821	3414
742	9834	3401
743	9846	3388
744	9860	3375
745	9872	3361
746	9886	3348
747	9901	3335
748	9915	3322
749	9927	3309
750	9940	3295
751	9954	3282
752	9967	3269
753	9979	3256
754	9993	3242
755	10008	3230
756	10022	3217
757	10036	3204
758	10051	3191
759	10064	3178
760	10078	3165
761	10095	3153
762	10109	3140
763	10124	3127
764	10138	3114
765	10152	3101
766	10167	3088
767	10182	3075
768	10196	3062
769	10211	3050
770	10226	3037
771	10242	3024
772	10256	3011
773	10270	2999
774	10286	2986
775	10301	2973
776	10318	2961
777	10335	2949
778	10350	2936
779	10365	2923
780	10379	2910
781	10394	2897
782	10407	2884
783	10421	2871
784	10436	2858
785	10452	2845
786	10465	2832
787	10478	2819
788	10493	2806
789	10507	2793
790	10521	2779
791	10535	2766
792	10550	2753
793	10563	2740
794	10576	2727
795	10589	2713
796	10603	2700
797	10618	2687
798	10632	2674
799	10647	2661
800	10660	2648
801	10674	2635
802	10689	2622
803	10703	2609
804	10718	2596
805	10733	2583
806	10746	2570
807	10760	2556
808	10773	2543
809	10787	2530
810	10800	2517
811	10815	2504
812	10831	2491
813	10843	2477
814	10856	2464
815	10869	2450
816	10882	2437
817	10896	2424
818	10910	2411
819	10922	2397
820	10937	2384
821	10949	2371
822	10964	2358
823	10977	2344
824	10991	2331
825	11005	2318
826	11017	2304
827	11031	2291
828	11045	2278
829	11059	2265
830	11073	2251
831	11086	2238
832	11100	2225
833	11114	2212
834	11128	2198
835	11141	2185
836	11156	2172
837	11169	2159
838	11182	2145
839	11197	2132
840	11210	2119
841	11225	2106
842	11238	2093
843	11253	2080
844	11266	2066
845	11280	2053
846	11294	2040
847	11306	2026
848	11317	2012
849	11330	1999
850	11345	1986
851	11359	1973
852	11373	1960
853	11385	1946
854	11397	1932
855	11408	1919
856	11422	1906
857	11435	1892
858	11449	1879
859	11463	1866
860	11478	1853
861	11492	1839
862	11507	1826
863	11520	1813
864	11535	1800
865	11549	1787
866	11562	1773
867	11576	1760
868	11588	1746
869	11602	1733
870	11617	1720
871	11630	1707
872	11641	1693
873	11654	1680
874	11669	1667
875	11683	1653
876	11696	1640
877	11710	1627
878	11724	1613
879	11736	1600
880	11748	1586
881	11764	1573
882	11777	1560
883	11790	1547
884	11805	1533
885	11818	1520
886	11832	1507
887	11846	1494
888	11858	1480
889	11870	1467
890	11884	1453
891	11899	1440
892	11911	1427
893	11926	1414
894	11938	1400
895	11950	1387
896	11965	1373
897	11980	1360
898	11992	1347
899	12005	1333
900	12020	1320
901	12033	1307
902	12046	1294
903	12059	1280
904	12072	1267
905	12085	1253
906	12098	1240
907	12111	1227
908	12123	1213
909	12136	1200
910	12149	1186
911	12161	1173
912	12177	1160
913	12189	1146
914	12203	1133
915	12216	1120
916	12230	1106
917	12244	1093
918	12258	1080
919	12272	1067
920	12286	1053
921	12298	1040
922	12311	1027
923	12325	1013
924	12337	1000
925	12350	986
926	12361	973
927	12374	960
928	12389	946
929	12401	933
930	12414	920
931	12428	906
932	12441	893
933	12455	880
934	12468	866
935	12482	853
936	12493	840
937	12506	826
938	12517	813
939	12529	799
940	12542	786
941	12555	773
942	12569	759
943	12580	746
944	12595	733
945	12607	719
946	12621	706
947	12636	693
948	12650	679
949	12662	666
950	12675	653
951	12688	639
952	12700	626
953	12713	613
954	12726	599
955	12739	586
956	12754	573
957	12768	559
958	12780	546
959	12793	533
960	12806	519
961	12820	506
962	12834	493
963	12847	479
964	12861	466
965	12873	453
966	12886	439
967	12900	426
968	12913	413
969	12928	399
970	12939	386
971	12951	373
972	12965	359
973	12978	346
974	12992	333
975	13006	319
976	13017	306
977	13030	293
978	13044	279
979	13058	266
980	13070	253
981	13083	239
982	13096	226
983	13108	213
984	13122	199
985	13136	186
986	13150	173
987	13163	159
988	13181	146
989	13194	133
990	13206	119
991	13219	106
992	13231	93
993	13245	79
994	13259	66
995	13271	53
996	13283	39
997	13296	26
998	13310	13
999	13325	0
